Start,Finish,Steps (count)
24-Jul-2015 00:00,25-Jul-2015 00:00,8330.0
25-Jul-2015 00:00,26-Jul-2015 00:00,3587.0
26-Jul-2015 00:00,27-Jul-2015 00:00,9360.0
27-Jul-2015 00:00,28-Jul-2015 00:00,2770.0
28-Jul-2015 00:00,29-Jul-2015 00:00,4141.0
29-Jul-2015 00:00,30-Jul-2015 00:00,7519.0
30-Jul-2015 00:00,31-Jul-2015 00:00,1159.0
31-Jul-2015 00:00,01-Aug-2015 00:00,5702.0
01-Aug-2015 00:00,02-Aug-2015 00:00,7557.0
02-Aug-2015 00:00,03-Aug-2015 00:00,6780.0
03-Aug-2015 00:00,04-Aug-2015 00:00,5899.0
04-Aug-2015 00:00,05-Aug-2015 00:00,3569.0
05-Aug-2015 00:00,06-Aug-2015 00:00,4979.0
06-Aug-2015 00:00,07-Aug-2015 00:00,7437.0
07-Aug-2015 00:00,08-Aug-2015 00:00,4127.0
08-Aug-2015 00:00,09-Aug-2015 00:00,3070.0
09-Aug-2015 00:00,10-Aug-2015 00:00,25297.0
10-Aug-2015 00:00,11-Aug-2015 00:00,7577.0
11-Aug-2015 00:00,12-Aug-2015 00:00,12234.0
12-Aug-2015 00:00,13-Aug-2015 00:00,4919.0
13-Aug-2015 00:00,14-Aug-2015 00:00,6524.0
14-Aug-2015 00:00,15-Aug-2015 00:00,15692.0
15-Aug-2015 00:00,16-Aug-2015 00:00,6534.0
16-Aug-2015 00:00,17-Aug-2015 00:00,2253.0
17-Aug-2015 00:00,18-Aug-2015 00:00,5297.0
18-Aug-2015 00:00,19-Aug-2015 00:00,4050.0
19-Aug-2015 00:00,20-Aug-2015 00:00,3918.0
20-Aug-2015 00:00,21-Aug-2015 00:00,6596.0
21-Aug-2015 00:00,22-Aug-2015 00:00,3307.0
22-Aug-2015 00:00,23-Aug-2015 00:00,5085.0
23-Aug-2015 00:00,24-Aug-2015 00:00,4559.0
24-Aug-2015 00:00,25-Aug-2015 00:00,3948.0
25-Aug-2015 00:00,26-Aug-2015 00:00,7456.0
26-Aug-2015 00:00,27-Aug-2015 00:00,3867.0
27-Aug-2015 00:00,28-Aug-2015 00:00,8210.75606697272
28-Aug-2015 00:00,29-Aug-2015 00:00,6348.24393302728
29-Aug-2015 00:00,30-Aug-2015 00:00,16055.0
30-Aug-2015 00:00,31-Aug-2015 00:00,9386.0
31-Aug-2015 00:00,01-Sep-2015 00:00,11155.3891448283
01-Sep-2015 00:00,02-Sep-2015 00:00,11119.6108551717
02-Sep-2015 00:00,03-Sep-2015 00:00,5071.0
03-Sep-2015 00:00,04-Sep-2015 00:00,12608.0
04-Sep-2015 00:00,05-Sep-2015 00:00,9981.0
05-Sep-2015 00:00,06-Sep-2015 00:00,5528.0
06-Sep-2015 00:00,07-Sep-2015 00:00,3776.0
07-Sep-2015 00:00,08-Sep-2015 00:00,6509.0
08-Sep-2015 00:00,09-Sep-2015 00:00,6505.0
09-Sep-2015 00:00,10-Sep-2015 00:00,5798.0
10-Sep-2015 00:00,11-Sep-2015 00:00,3243.0
11-Sep-2015 00:00,12-Sep-2015 00:00,5935.0
12-Sep-2015 00:00,13-Sep-2015 00:00,7431.0
13-Sep-2015 00:00,14-Sep-2015 00:00,11330.0
14-Sep-2015 00:00,15-Sep-2015 00:00,5441.0
15-Sep-2015 00:00,16-Sep-2015 00:00,8687.0
16-Sep-2015 00:00,17-Sep-2015 00:00,7000.0
17-Sep-2015 00:00,18-Sep-2015 00:00,8807.0
18-Sep-2015 00:00,19-Sep-2015 00:00,7389.0
19-Sep-2015 00:00,20-Sep-2015 00:00,5552.0
20-Sep-2015 00:00,21-Sep-2015 00:00,5040.0
21-Sep-2015 00:00,22-Sep-2015 00:00,6101.0
22-Sep-2015 00:00,23-Sep-2015 00:00,8481.0
